Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Total Revenue,"7,259,266","6,892,303","6,476,632","5,323,381","4,905,458"
Cost of Revenue,"3,909,773","3,763,715","3,568,109","2,943,086","2,775,588"
Gross Profit,"3,349,493","3,128,588","2,908,523","2,380,295","2,129,870"
Operating Expense,"2,078,906","1,980,644","1,916,792","1,527,380","1,348,122"
Operating Income,"1,270,587","1,147,944","991,731","852,915","781,748"
Net Non Operating Interest Income Expense,"-104,160","-100,508","-108,833","-86,287","-63,626"
Other Income Expense,-,"54,963","-41,897","-79,224",-
Pretax Income,"1,165,513","1,102,399","841,001","687,404","718,122"
Tax Provision,"207,567","219,764","57,069","230,118","261,181"
Net Income Common Stockholders,"950,116","875,413","842,586","480,708","686,115"
Diluted NI Available to Com Stockholders,"950,116","875,413","842,586","480,708","686,115"
Basic EPS,-,0.0083,0.0078,0.0045,0.0063
Diluted EPS,-,0.008,0.0076,0.0044,0.0062
Basic Average Shares,-,"106,080","106,593","104,964","108,221"
Diluted Average Shares,-,"109,495","109,810","107,783","109,956"
Total Operating Income as Reported,"1,269,673","1,133,534","949,834","773,691","781,748"
Total Expenses,"5,988,679","5,744,359","5,484,901","4,470,466","4,123,710"
Net Income from Continuing & Discontinued Operation,"957,571","884,981","842,586","480,708","693,520"
Normalized Income,"958,697","838,610","822,980","509,970","456,941"
Interest Income,"1,063","1,228","1,342",237,896
Interest Expense,"105,223","101,736","110,175","86,524","64,522"
Net Interest Income,"-104,160","-100,508","-108,833","-86,287","-63,626"
EBIT,"1,270,736","1,204,135","951,176","773,928","782,644"
EBITDA,"1,646,993",-,-,-,-
Reconciled Cost of Revenue,"3,909,773","3,763,715","3,568,109","2,943,086","2,775,588"
Reconciled Depreciation,"376,257","360,093","279,416","196,595","165,279"
Net Income from Continuing Operation Net Minority Interest,"957,946","882,635","783,932","457,286","456,941"
Total Unusual Items Excluding Goodwill,-914,"54,963","-41,897","-79,224",0
Total Unusual Items,-914,"54,963","-41,897","-79,224",0
Normalized EBITDA,"1,647,907","1,509,265","1,272,489","1,049,747","947,923"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-162.7749,"10,938","-2,849","-26,540",0
