Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,587,400","11,554,800","11,333,400","10,441,400","9,641,800"
Cost of Revenue,"8,396,600","8,302,300","8,157,000","6,977,400","6,461,300"
Gross Profit,"3,190,800","3,252,500","3,176,400","3,464,000","3,180,500"
Operating Expense,"1,874,600","1,867,700","1,802,600","2,028,900","1,809,700"
Operating Income,"1,316,200","1,384,800","1,373,800","1,435,100","1,370,800"
Net Non Operating Interest Income Expense,"-239,000","-240,700","-244,200","-235,100","-219,100"
Other Income Expense,"-494,700","-39,200","138,700","-65,100","-46,200"
Pretax Income,"582,500","1,104,900","1,268,300","1,134,900","1,105,500"
Tax Provision,"260,400","280,000","384,400","-139,100","372,300"
Net Income Common Stockholders,"321,000","823,800","883,700","1,268,200","732,100"
Diluted NI Available to Com Stockholders,"321,000","823,800","883,700","1,268,200","732,100"
Basic EPS,-,0.0084,0.0087,0.0124,0.0071
Diluted EPS,-,0.0084,0.0086,0.0122,0.007
Basic Average Shares,-,"97,900","101,400","102,400","102,500"
Diluted Average Shares,-,"98,600","102,600","103,900","104,300"
Total Operating Income as Reported,"819,400","1,330,200","1,325,700","1,364,200","1,312,400"
Total Expenses,"10,271,200","10,170,000","9,959,600","9,006,300","8,271,000"
Net Income from Continuing & Discontinued Operation,"321,000","823,800","883,700","1,268,200","732,100"
Normalized Income,"675,780","858,013","911,998","1,309,480","769,692"
Interest Expense,"239,000","240,700","244,200","235,100","219,100"
Net Interest Income,"-239,000","-240,700","-244,200","-235,100","-219,100"
EBIT,"821,500","1,345,600","1,512,500","1,370,000","1,324,600"
EBITDA,"1,407,800",-,-,-,-
Reconciled Cost of Revenue,"8,058,700","7,968,300","7,836,600","6,660,700","6,141,600"
Reconciled Depreciation,"586,300","577,200","552,100","533,200","499,200"
Net Income from Continuing Operation Net Minority Interest,"321,000","823,800","883,700","1,268,200","732,100"
Total Unusual Items Excluding Goodwill,"-486,000","-45,800","-40,600","-68,800","-56,700"
Total Unusual Items,"-486,000","-45,800","-40,600","-68,800","-56,700"
Normalized EBITDA,"1,893,800","1,968,600","2,105,200","1,972,000","1,880,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-131,220","-11,587","-12,302","-27,520","-19,108"
