Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"2,671,500","2,653,400","2,532,800","2,139,000","1,966,814"
Cost of Revenue,"906,700","896,600","900,500","773,200","793,735"
Gross Profit,"1,764,800","1,756,800","1,632,300","1,365,800","1,173,079"
Operating Expense,"1,236,500","1,228,700","1,204,800","936,700","848,999"
Operating Income,"528,300","528,100","427,500","429,100","324,080"
Net Non Operating Interest Income Expense,"-61,400","-68,000","-82,700","-33,400","-26,190"
Other Income Expense,"14,100","17,300","-12,900","-1,700","-2,257"
Pretax Income,"481,000","477,400","331,900","394,000","295,633"
Tax Provision,"27,000","10,700","192,000","21,100","20,699"
Net Income Common Stockholders,"454,000","466,700","139,900","372,900","273,917"
Diluted NI Available to Com Stockholders,"454,000","466,700","139,900","372,900","273,917"
Basic EPS,-,0.0095,0.0028,0.0076,0.0056
Diluted EPS,-,0.0093,0.0028,0.0075,0.0056
Basic Average Shares,-,"49,100","49,200","48,800","48,785"
Diluted Average Shares,-,"50,000","49,700","49,600","49,026"
Total Operating Income as Reported,"546,900","546,700","403,100","429,100","324,080"
Total Expenses,"2,143,200","2,125,300","2,105,300","1,709,900","1,642,734"
Net Income from Continuing & Discontinued Operation,"454,000","466,700","139,900","372,900","273,917"
Normalized Income,"457,870","450,677","157,712","372,900","273,917"
Interest Expense,"61,400","68,000","82,700","33,400","26,190"
Net Interest Income,"-61,400","-68,000","-82,700","-33,400","-26,190"
EBIT,"542,400","545,400","414,600","427,400","321,823"
EBITDA,"825,000",-,-,-,-
Reconciled Cost of Revenue,"768,200","761,600","772,100","653,200","656,251"
Reconciled Depreciation,"282,600","280,800","275,100","188,400","198,274"
Net Income from Continuing Operation Net Minority Interest,"454,000","466,700","139,900","372,900","273,917"
Total Unusual Items Excluding Goodwill,"-4,100","16,400","-24,400",-,-
Total Unusual Items,"-4,100","16,400","-24,400",-,-
Normalized EBITDA,"829,100","809,800","714,100","615,800","520,097"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-230.1455,377.2,"-6,588",0,0
