Breakdown,ttm,4/30/2019,4/30/2018,4/30/2017
Total Revenue,"7,611,100","7,838,000","7,357,100","7,392,300"
Cost of Revenue,"4,705,100","4,922,300","4,521,000","4,557,000"
Gross Profit,"2,906,000","2,915,700","2,836,100","2,835,300"
Operating Expense,"1,703,600","1,717,900","1,577,700","1,593,700"
Operating Income,"1,202,400","1,197,800","1,258,400","1,241,600"
Net Non Operating Interest Income Expense,"-192,700","-207,900","-174,100","-163,100"
Other Income Expense,"-179,500","-288,300","-223,300","-200,100"
Pretax Income,"830,200","701,600","861,000","878,400"
Tax Provision,"205,500","187,200","-477,600","286,100"
Net Income Common Stockholders,"621,200","511,800","1,331,800","589,500"
Diluted NI Available to Com Stockholders,"621,200","511,800","1,331,800","589,500"
Basic EPS,-,0.0045,0.0118,0.0051
Diluted EPS,-,0.0045,0.0118,0.0051
Basic Average Shares,-,"113,700","113,600","116,014"
Diluted Average Shares,-,"113,700","113,600","116,121"
Total Operating Income as Reported,"1,030,000","928,600","1,036,100","1,031,500"
Total Expenses,"6,408,700","6,640,200","6,098,700","6,150,700"
Net Income from Continuing & Discontinued Operation,"624,700","514,400","1,338,600","592,300"
Normalized Income,"754,426","711,724","1,500,879","733,907"
Interest Expense,-,"207,900","174,100","163,100"
Net Interest Income,"-192,700","-207,900","-174,100","-163,100"
EBIT,"914,100","909,500","1,035,100","1,041,500"
EBITDA,"1,359,500",-,-,-
Reconciled Cost of Revenue,"4,496,500","4,716,300","4,314,700","4,345,300"
Reconciled Depreciation,"445,400","446,300","413,100","419,000"
Net Income from Continuing Operation Net Minority Interest,"624,700","514,400","1,338,600","592,300"
Total Unusual Items Excluding Goodwill,"-172,400","-269,200","-222,300","-210,100"
Total Unusual Items,"-172,400","-269,200","-222,300","-210,100"
Normalized EBITDA,"1,531,900","1,625,000","1,670,500","1,670,600"
Tax Rate for Calcs,0,0,0,0
Tax Effect of Unusual Items,"-42,674","-71,876","-60,021","-68,493"
