Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,199,000","11,529,000","11,537,000","11,404,000","11,106,920"
Cost of Revenue,"6,476,000","6,806,000","7,084,000","6,917,000","6,813,007"
Gross Profit,"4,723,000","4,723,000","4,453,000","4,487,000","4,293,913"
Operating Expense,"2,650,000","2,619,000","2,488,000","2,300,000","2,083,431"
Operating Income,"2,073,000","2,104,000","1,965,000","2,187,000","2,210,482"
Net Non Operating Interest Income Expense,"-746,000","-736,000","-652,000","-609,000","-611,537"
Other Income Expense,"122,000","132,000","129,000","112,000","105,651"
Pretax Income,"1,449,000","1,500,000","1,442,000","1,690,000","1,704,596"
Tax Provision,"97,000","128,000","181,000","542,000","581,217"
Net Income Common Stockholders,"1,352,000","1,372,000","1,261,000","1,148,000","1,123,379"
Average Dilution Earnings,-,-,-,0,0
Diluted NI Available to Com Stockholders,"1,352,000","1,372,000","1,261,000","1,148,000","1,123,379"
Basic EPS,-,-,0.0025,0.0023,0.0022
Diluted EPS,-,-,0.0025,0.0023,0.0022
Basic Average Shares,-,-,"511,000","509,000","508,794"
Diluted Average Shares,-,-,"511,000","509,000","509,465"
Total Operating Income as Reported,"2,073,000","2,104,000","1,965,000","2,190,000","2,213,855"
Total Expenses,"9,126,000","9,425,000","9,572,000","9,217,000","8,896,438"
Interest Income,-,-,-,"19,000","8,342"
Interest Expense,"719,000","710,000","627,000","604,000","594,709"
Net Interest Income,"-746,000","-736,000","-652,000","-609,000","-611,537"
Net Income from Continuing & Discontinued Operation,"1,352,000","1,372,000","1,261,000","1,148,000","1,123,379"
Normalized Income,"1,277,355","1,301,545","1,166,608","1,097,075","1,083,479"
EBIT,"2,168,000","2,210,000","2,069,000","2,294,000","2,299,305"
EBITDA,"4,102,000",-,-,-,-
Reconciled Cost of Revenue,"6,337,000","6,667,000","6,945,000","6,787,000","6,680,476"
Reconciled Depreciation,"1,934,000","1,904,000","1,781,000","1,609,000","1,435,734"
Net Income from Continuing Operation Net Minority Interest,"1,352,000","1,372,000","1,261,000","1,148,000","1,123,379"
Total Unusual Items Excluding Goodwill,"80,000","77,000","108,000","75,000","60,547"
Total Unusual Items,"80,000","77,000","108,000","75,000","60,547"
Normalized EBITDA,"4,022,000","4,037,000","3,742,000","3,828,000","3,674,492"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"5,355","6,545","13,608","24,075","20,647"
