Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,639,000","6,554,000","7,476,000","7,196,000","6,365,000"
Cost of Revenue,"5,472,000","5,412,000","5,592,000","5,298,000","4,926,000"
Gross Profit,"1,167,000","1,142,000","1,884,000","1,898,000","1,439,000"
Operating Expense,"449,000","466,000","466,000","421,000","441,000"
Operating Income,"718,000","676,000","1,418,000","1,477,000","998,000"
Net Non Operating Interest Income Expense,"-335,000","-348,000","-315,000","-354,000","-388,000"
Other Income Expense,"-56,000","-541,000","-296,000","-407,000","-106,000"
Pretax Income,"327,000","-213,000","807,000","716,000","504,000"
Tax Provision,"-36,000","-137,000","59,000","134,000","89,000"
Net Income Common Stockholders,"363,000","-76,000","748,000","582,000","1,005,000"
Diluted NI Available to Com Stockholders,"363,000","-76,000","748,000","582,000","1,005,000"
Basic EPS,-,-,0,0,0.0014
Diluted EPS,-,-,0,0,0.0014
Basic Average Shares,-,-,"754,556","753,085","718,560"
Diluted Average Shares,-,-,"756,827","756,666","722,401"
Total Operating Income as Reported,"717,000","651,000","1,394,000","1,131,000","870,000"
Total Expenses,"5,921,000","5,878,000","6,058,000","5,719,000","5,367,000"
Net Income from Continuing & Discontinued Operation,"363,000","-76,000","748,000","582,000","1,027,000"
Normalized Income,"363,600","-57,750","770,248","863,246","520,472"
Interest Income,"21,000","30,000","60,000","39,000","43,000"
Interest Expense,"356,000","378,000","375,000","393,000","431,000"
Net Interest Income,"-335,000","-348,000","-315,000","-354,000","-388,000"
EBIT,"683,000","165,000","1,182,000","1,109,000","935,000"
EBITDA,"1,193,000",-,-,-,-
Reconciled Cost of Revenue,"5,472,000","5,412,000","5,592,000","5,298,000","4,926,000"
Reconciled Depreciation,"510,000","510,000","486,000","521,000","565,000"
Net Income from Continuing Operation Net Minority Interest,"363,000","-76,000","748,000","582,000","415,000"
Total Unusual Items Excluding Goodwill,"-1,000","-25,000","-24,000","-346,000","-128,000"
Total Unusual Items,"-1,000","-25,000","-24,000","-346,000","-128,000"
Normalized EBITDA,"1,194,000","700,000","1,692,000","1,976,000","1,628,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-400,"-6,750","-1,752","-64,754","-22,528"
