Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,313,000","12,347,000","12,657,000","12,320,000","11,869,000"
Cost of Revenue,"7,779,000","7,857,000","8,203,000","7,680,000","7,395,000"
Gross Profit,"4,534,000","4,490,000","4,454,000","4,640,000","4,474,000"
Operating Expense,"2,134,000","2,124,000","2,259,000","2,409,000","2,361,000"
Operating Income,"2,400,000","2,366,000","2,195,000","2,231,000","2,113,000"
Net Non Operating Interest Income Expense,"-835,000","-804,000","-710,000","-632,000","-578,000"
Other Income Expense,"-505,000","-435,000","-2,574,000","-650,000","55,000"
Pretax Income,"1,060,000","1,127,000","-1,089,000","949,000","1,590,000"
Tax Provision,"-250,000","-278,000","-739,000","281,000","177,000"
Net Income Common Stockholders,"1,189,000","1,284,000","-423,000","565,000","1,311,000"
Diluted NI Available to Com Stockholders,"1,189,000","1,284,000","-423,000","565,000","1,311,000"
Basic EPS,-,-,-0.0013,0.0017,0.004
Diluted EPS,-,-,-0.0013,0.0017,0.004
Basic Average Shares,-,-,"326,000","326,000","326,000"
Diluted Average Shares,-,-,"326,000","328,000","330,000"
Total Operating Income as Reported,"1,725,000","1,775,000","-552,000","1,493,000","2,092,000"
Total Expenses,"9,913,000","9,981,000","10,462,000","10,089,000","9,756,000"
Interest Income,"37,000","37,000","24,000","7,000","3,000"
Interest Expense,"872,000","841,000","734,000","639,000","581,000"
Net Interest Income,"-835,000","-804,000","-710,000","-632,000","-578,000"
Net Income from Continuing & Discontinued Operation,"1,310,000","1,405,000","-302,000","689,000","1,434,000"
Normalized Income,"1,696,900","1,734,230","1,567,110","1,117,736","1,340,212"
EBIT,"1,932,000","1,968,000","-355,000","1,588,000","2,171,000"
EBITDA,"3,738,000",-,-,-,-
Reconciled Cost of Revenue,"7,707,000","7,784,000","8,134,000","7,606,000","7,304,000"
Reconciled Depreciation,"1,806,000","1,803,000","1,940,000","2,115,000","2,098,000"
Net Income from Continuing Operation Net Minority Interest,"1,310,000","1,405,000","-336,000","689,000","1,422,000"
Total Unusual Items Excluding Goodwill,"-530,000","-451,000","-2,607,000","-609,000","92,000"
Total Unusual Items,"-530,000","-451,000","-2,607,000","-609,000","92,000"
Normalized EBITDA,"4,268,000","4,222,000","4,192,000","4,312,000","4,177,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-143,100","-121,770","-703,890","-180,264","10,212"
