Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"16,898,000","16,783,000","16,125,000","14,810,000","13,487,000"
Cost of Revenue,"10,806,000","10,634,000","9,838,000","9,152,000","8,108,000"
Gross Profit,"6,092,000","6,149,000","6,287,000","5,658,000","5,379,000"
Operating Expense,"3,329,000","3,479,000","3,486,000","3,177,000","3,090,000"
Operating Income,"2,763,000","2,670,000","2,801,000","2,481,000","2,289,000"
Net Non Operating Interest Income Expense,"144,000","150,000","150,000","110,000","96,000"
Other Income Expense,"-437,000","-277,000","-154,000","64,000","-28,000"
Pretax Income,"2,470,000","2,543,000","2,797,000","2,655,000","2,357,000"
Tax Provision,"643,000","643,000","698,000","1,153,000","805,000"
Earnings from Equity Interest Net of Tax,"-59,000","-58,000","2,000","2,000","1,000"
Net Income Common Stockholders,"1,768,000","1,842,000","2,101,000","1,504,000","1,553,000"
Diluted NI Available to Com Stockholders,"1,768,000","1,842,000","2,101,000","1,504,000","1,553,000"
Basic EPS,-,0.0033,0.0036,0.0025,0.0026
Diluted EPS,-,0.0033,0.0036,0.0025,0.0025
Basic Average Shares,-,"559,000","582,000","593,000","607,000"
Diluted Average Shares,-,"560,000","584,000","595,000","610,000"
Total Operating Income as Reported,"2,493,000","2,453,000","2,801,000","2,481,000","2,289,000"
Total Expenses,"14,135,000","14,113,000","13,324,000","12,329,000","11,198,000"
Net Income from Continuing & Discontinued Operation,"1,768,000","1,842,000","2,101,000","1,504,000","1,553,000"
Normalized Income,"2,092,718","2,052,654","2,215,000","1,463,800","1,572,740"
Interest Income,"169,000","176,000","177,000","133,000","115,000"
Interest Expense,"25,000","26,000","27,000","23,000","19,000"
Net Interest Income,"144,000","150,000","150,000","110,000","96,000"
EBIT,"2,495,000","2,569,000","2,824,000","2,678,000","2,376,000"
EBITDA,"3,024,000",-,-,-,-
Reconciled Cost of Revenue,"10,794,000","10,615,000","9,800,000","9,117,000","8,088,000"
Reconciled Depreciation,"529,000","526,000","498,000","443,000","379,000"
Net Income from Continuing Operation Net Minority Interest,"1,768,000","1,842,000","2,101,000","1,504,000","1,553,000"
Total Unusual Items Excluding Goodwill,"-439,000","-282,000","-152,000","67,000","-30,000"
Total Unusual Items,"-439,000","-282,000","-152,000","67,000","-30,000"
Normalized EBITDA,"3,463,000","3,377,000","3,474,000","3,054,000","2,785,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-114,282","-71,346","-38,000","26,800","-10,260"
