Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,091,090","5,100,405","4,671,088","4,299,105","4,251,509"
Cost of Revenue,"3,253,350","3,245,601","2,959,609","2,568,547","2,398,328"
Gross Profit,"1,837,740","1,854,804","1,711,479","1,730,558","1,853,181"
Operating Expense,"1,191,762","1,172,312","1,076,842","1,106,694","1,066,698"
Operating Income,"645,978","682,492","634,637","623,864","786,483"
Net Non Operating Interest Income Expense,-,-,"-470,778","-410,811","-423,382"
Other Income Expense,"-163,710","-139,600","-211,147","-324,248","-77,230"
Pretax Income,"482,268","542,892","423,490","299,616","709,253"
Tax Provision,"6,177","2,957","8,674","20,128","-19,128"
Earnings from Equity Interest Net of Tax,"47,941","42,434",-641,"-83,125","-10,357"
Net Income Common Stockholders,"1,262,246","1,232,432","758,250","463,595","1,012,397"
Diluted NI Available to Com Stockholders,"1,260,812","1,232,432","758,250","463,595","1,012,397"
Basic EPS,-,-,0.002,0.0013,0.0028
Diluted EPS,-,-,0.002,0.0013,0.0028
Basic Average Shares,-,-,"373,620","367,237","358,275"
Diluted Average Shares,-,-,"375,250","369,001","360,227"
Total Expenses,"4,445,112","4,417,913","4,036,451","3,675,241","3,465,026"
Net Income from Continuing & Discontinued Operation,"418,790","484,391","389,379","178,524","713,757"
Normalized Income,"547,258","591,692","514,424","331,514","770,687"
Interest Income,-,-,"55,814","73,811","97,963"
Interest Expense,-,-,"526,592","484,622","521,345"
Net Interest Income,-,-,"-470,778","-410,811","-423,382"
EBIT,"645,978","682,492","634,637","623,864","786,483"
EBITDA,"1,716,734",-,-,-,-
Reconciled Cost of Revenue,"3,240,536","3,229,450","2,940,001","2,551,669","2,389,184"
Reconciled Depreciation,"1,070,756","1,043,224","970,067","938,598","910,386"
Net Income from Continuing Operation Net Minority Interest,"418,790","484,391","389,379","178,524","713,757"
Total Unusual Items Excluding Goodwill,"-130,135","-107,889","-127,660","-164,008","-94,883"
Total Unusual Items,"-130,135","-107,889","-127,660","-164,008","-94,883"
Normalized EBITDA,"1,846,869","1,833,605","1,732,364","1,726,470","1,791,752"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,667",-587.645,"-2,615","-11,018","-37,953"
