Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,675,000","9,821,000","9,478,000","10,629,000","12,351,000"
Cost of Revenue,"7,109,000","7,303,000","7,108,000","7,536,000","8,555,000"
Gross Profit,"2,566,000","2,518,000","2,370,000","3,093,000","3,796,000"
Operating Expense,"1,247,000","1,207,000","1,231,000","2,030,000","2,558,000"
Operating Income,"1,319,000","1,311,000","1,139,000","1,063,000","1,238,000"
Net Non Operating Interest Income Expense,"-397,000","-413,000","-483,000","-890,000","-1,061,000"
Other Income Expense,"-90,000","-112,000","-189,000","-1,713,000","-1,052,000"
Pretax Income,"832,000","786,000","467,000","-1,540,000","-875,000"
Tax Provision,"-3,315,000","-3,334,000","7,000","8,000","16,000"
Net Income Common Stockholders,"4,077,000","4,438,000","268,000","-2,153,000","-701,000"
Diluted NI Available to Com Stockholders,"4,077,000","4,438,000","268,000","-2,153,000","-701,000"
Basic EPS,-,-,0,-0.0068,-0.0022
Diluted EPS,-,-,0,-0.0068,-0.0022
Basic Average Shares,-,-,"304,000","317,000","316,000"
Diluted Average Shares,-,-,"308,000","317,000","316,000"
Total Operating Income as Reported,"1,313,000","1,290,000","982,000","-587,000","527,000"
Total Expenses,"8,356,000","8,510,000","8,339,000","9,566,000","11,113,000"
Interest Expense,"397,000","413,000","483,000","890,000","1,061,000"
Net Interest Income,"-397,000","-413,000","-483,000","-890,000","-1,061,000"
Net Income from Continuing & Discontinued Operation,"4,077,000","4,438,000","268,000","-2,153,000","-774,000"
Normalized Income,"4,277,590","4,248,400","672,760","495,655","326,822"
EBIT,"1,229,000","1,199,000","950,000","-650,000","186,000"
EBITDA,"1,717,000",-,-,-,-
Reconciled Cost of Revenue,"7,018,000","7,213,000","6,977,000","7,377,000","8,415,000"
Reconciled Depreciation,"488,000","463,000","552,000","1,215,000","1,507,000"
Net Income from Continuing Operation Net Minority Interest,"4,144,000","4,117,000","460,000","-1,364,000","-774,000"
Total Unusual Items Excluding Goodwill,"-183,000","-180,000","-216,000","-1,869,000","-1,121,000"
Total Unusual Items,"-183,000","-180,000","-216,000","-1,869,000","-1,121,000"
Normalized EBITDA,"1,900,000","1,842,000","1,718,000","2,434,000","2,814,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-49,410","-48,600","-3,240","-9,345","-20,178"
