Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,295,500","4,991,100","4,131,200","3,551,100","3,084,000"
Cost of Revenue,"420,400","394,500","374,300","454,200","258,000"
Gross Profit,"4,875,100","4,596,600","3,756,900","3,096,900","2,826,000"
Operating Expense,"2,493,800","2,456,700","2,162,300","2,292,900","2,033,000"
Operating Income,"2,381,300","2,139,900","1,594,600","804,000","793,000"
Net Non Operating Interest Income Expense,"-83,700","-77,800","-98,200","-98,400","-97,000"
Other Income Expense,"3,000","116,700","-1,254,200","-157,800","-120,000"
Pretax Income,"2,300,600","2,178,800","242,200","547,800","576,000"
Tax Provision,"-73,400","-225,500","164,600","104,500","177,000"
Net Income Common Stockholders,"2,374,000","2,404,300","77,600","443,300","399,000"
Diluted NI Available to Com Stockholders,"2,374,000","2,404,300","77,600","443,300","399,000"
Basic EPS,-,-,0,0.002,0.0018
Diluted EPS,-,-,0,0.002,0.0018
Basic Average Shares,-,-,"222,700","223,900","224,000"
Diluted Average Shares,-,-,"224,500","225,400","227,000"
Total Operating Income as Reported,"2,299,100","2,120,400","269,600","627,400","667,000"
Total Expenses,"2,914,200","2,851,200","2,536,600","2,747,100","2,291,000"
Net Income from Continuing & Discontinued Operation,"2,374,000","2,404,300","77,600","443,300","399,000"
Normalized Income,"2,395,608","2,345,316","997,181","571,203","482,160"
Interest Expense,"83,700","77,800","98,200","98,400","97,000"
Net Interest Income,"-83,700","-77,800","-98,200","-98,400","-97,000"
EBIT,"2,384,300","2,256,600","340,400","646,200","673,000"
EBITDA,"2,753,200",-,-,-,-
Reconciled Cost of Revenue,"354,800","327,300","289,100","277,600","184,000"
Reconciled Depreciation,"368,900","376,800","405,300","496,700","396,000"
Net Income from Continuing Operation Net Minority Interest,"2,374,000","2,404,300","77,600","443,300","399,000"
Total Unusual Items Excluding Goodwill,"-29,600","80,800","-1,259,700","-158,100","-120,000"
Total Unusual Items,"-29,600","80,800","-1,259,700","-158,100","-120,000"
Normalized EBITDA,"2,782,800","2,552,600","2,005,400","1,301,000","1,189,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-7,992","21,816","-340,119","-30,197","-36,840"
