Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,739,100","4,739,100","4,244,265","3,965,594","3,818,749"
Cost of Revenue,"3,560,100","3,560,100","3,277,688","2,993,654","2,909,783"
Gross Profit,"1,179,000","1,179,000","966,577","971,940","908,966"
Operating Expense,"293,600","293,600","262,361","262,921","239,962"
Operating Income,"885,400","885,400","704,216","709,019","669,004"
Net Non Operating Interest Income Expense,"-129,300","-129,300","-137,069","-91,487","-81,677"
Other Income Expense,"-7,800","-7,800","8,934","1,396","19,701"
Pretax Income,"748,300","748,300","576,081","618,928","607,028"
Tax Provision,"136,300","136,300","105,705","-94,457","181,584"
Net Income Common Stockholders,"611,000","611,000","469,192","711,313","423,611"
Diluted NI Available to Com Stockholders,"594,100","611,000","469,192","711,313","423,611"
Basic EPS,-,-,0.0075,0.0113,0.0067
Diluted EPS,-,-,0.0074,0.0113,0.0066
Basic Average Shares,-,-,"62,895","62,900","63,610"
Diluted Average Shares,-,-,"63,147","63,200","63,861"
Total Operating Income as Reported,"884,900","884,900","690,737","700,381","667,321"
Total Expenses,"3,853,700","3,853,700","3,540,049","3,256,575","3,149,745"
Interest Expense,"129,300","129,300","137,069","91,487","81,677"
Net Interest Income,"-129,300","-129,300","-137,069","-91,487","-81,677"
Net Income from Continuing & Discontinued Operation,"611,900","611,900","469,998","713,342","425,386"
Normalized Income,"612,309","612,309","481,010","720,658","426,566"
EBIT,"877,600","877,600","713,150","710,415","688,705"
EBITDA,"1,239,900",-,-,-,-
Reconciled Cost of Revenue,"3,560,100","3,560,100","3,277,688","2,993,654","2,909,783"
Reconciled Depreciation,"371,500","371,500","344,033","297,162","285,253"
Net Income from Continuing Operation Net Minority Interest,"611,900","611,900","469,998","713,342","425,386"
Total Unusual Items Excluding Goodwill,-700,-500,"-13,479","-8,638","-1,683"
Total Unusual Items,-500,-500,"-13,479","-8,638","-1,683"
Normalized EBITDA,"1,249,600","1,249,600","1,070,662","1,016,215","975,641"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-134.4106,-91,"-2,467","-1,322",-503.217
