Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"19,215,004","19,392,305","18,735,073","16,308,801","15,339,713"
Cost of Revenue,"12,906,112","13,076,036","12,751,286","11,402,403","10,740,106"
Gross Profit,"6,308,892","6,316,269","5,983,787","4,906,398","4,599,607"
Operating Expense,"5,259,995","5,219,360","4,874,072","3,886,759","3,529,835"
Operating Income,"1,048,897","1,096,909","1,109,715","1,019,639","1,069,772"
Net Non Operating Interest Income Expense,"-92,797","-95,711","-101,925","-41,486","-21,084"
Other Income Expense,"-158,367","-170,898","67,822","31,115","25,652"
Pretax Income,"797,733","830,300","1,075,612","1,009,268","1,074,340"
Tax Provision,"200,363","209,215","265,138","392,511","387,100"
Net Income Common Stockholders,"597,370","621,085","810,474","616,757","687,240"
Diluted NI Available to Com Stockholders,"597,370","621,085","810,474","616,757","687,240"
Basic EPS,-,-,0.0055,0.0042,0.0046
Diluted EPS,-,-,0.0055,0.0042,0.0046
Basic Average Shares,-,-,"146,657","147,140","149,051"
Diluted Average Shares,-,-,"147,241","147,701","149,804"
Total Expenses,"18,166,107","18,295,396","17,625,358","15,289,162","14,269,941"
Net Income from Continuing & Discontinued Operation,"597,370","621,085","810,474","616,757","687,240"
Normalized Income,"775,853","798,293","810,474","616,757","687,240"
Interest Expense,"92,797","95,711","101,925","41,486","21,084"
Net Interest Income,"-92,797","-95,711","-101,925","-41,486","-21,084"
EBIT,"890,530","926,011","1,177,537","1,050,754","1,095,424"
EBITDA,"1,169,284",-,-,-,-
Reconciled Cost of Revenue,"12,906,112","13,076,036","12,751,286","11,402,403","10,740,106"
Reconciled Depreciation,"278,754","270,288","241,635","167,691","147,487"
Net Income from Continuing Operation Net Minority Interest,"597,370","621,085","810,474","616,757","687,240"
Total Unusual Items Excluding Goodwill,"-238,348","-236,909",-,-,-
Total Unusual Items,"-238,348","-236,909",-,-,-
Normalized EBITDA,"1,407,632","1,433,208","1,419,172","1,218,445","1,242,911"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-59,865","-59,701",0,0,0
