Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,526,000","11,362,000","11,127,000","10,561,000","10,163,000"
Cost of Revenue,"6,682,000","6,601,000","6,346,000","6,099,000","6,053,000"
Gross Profit,"4,844,000","4,761,000","4,781,000","4,462,000","4,110,000"
Operating Expense,"3,903,000","3,832,000","3,134,000","3,204,000","3,386,000"
Operating Income,"941,000","929,000","1,647,000","1,258,000","724,000"
Net Non Operating Interest Income Expense,"-74,000","-71,000","-45,000","-55,000","-66,000"
Other Income Expense,"95,000","112,000","91,000","14,000","4,296,000"
Pretax Income,"962,000","970,000","1,693,000","1,217,000","4,954,000"
Tax Provision,"-40,000","-41,000","63,000","493,000","-12,000"
Net Income Common Stockholders,"990,000","1,001,000","1,624,000","717,000","4,965,000"
Diluted NI Available to Com Stockholders,"990,000","1,001,000","1,624,000","717,000","4,965,000"
Basic EPS,-,-,0.003,0.0013,0.0091
Diluted EPS,-,-,0.003,0.0013,0.009
Basic Average Shares,-,-,"534,000","543,000","546,000"
Diluted Average Shares,-,-,"546,000","555,000","551,000"
Total Operating Income as Reported,"1,798,000","1,772,000","1,599,000","1,258,000","724,000"
Total Expenses,"10,585,000","10,433,000","9,480,000","9,303,000","9,439,000"
Net Income from Continuing & Discontinued Operation,"990,000","1,001,000","1,624,000","717,000","4,965,000"
Normalized Income,"1,018,800","900,410","1,553,923","712,000","2,407,000"
Interest Income,"42,000","40,000","48,000","30,000","23,000"
Interest Expense,"116,000","111,000","93,000","85,000","89,000"
Net Interest Income,"-74,000","-71,000","-45,000","-55,000","-66,000"
EBIT,"1,078,000","1,081,000","1,786,000","1,302,000","5,043,000"
EBITDA,"1,874,000",-,-,-,-
Reconciled Cost of Revenue,"6,682,000","6,601,000","6,346,000","6,099,000","6,053,000"
Reconciled Depreciation,"796,000","789,000","785,000","761,000","800,000"
Net Income from Continuing Operation Net Minority Interest,"990,000","1,001,000","1,630,000","724,000","4,966,000"
Total Unusual Items Excluding Goodwill,"-48,000","105,000","79,000","20,000","4,265,000"
Total Unusual Items,"-48,000","105,000","79,000","20,000","4,265,000"
Normalized EBITDA,"1,922,000","1,765,000","2,492,000","2,043,000","1,578,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-19,200","4,410","2,923","8,000","1,706,000"
