Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,014,645","2,014,645","1,865,695","1,727,674","1,633,125"
Cost of Revenue,"493,031","493,031","468,795","446,312","420,897"
Gross Profit,"1,521,614","1,521,614","1,396,900","1,281,362","1,212,228"
Operating Expense,"889,795","889,795","814,639","773,797","781,538"
Operating Income,"631,819","631,819","582,261","507,565","430,690"
Net Non Operating Interest Income Expense,"-410,195","-410,195","-392,415","-337,231","-341,582"
Other Income Expense,"-34,735","-34,735","-138,162","-53,443","-1,805"
Pretax Income,"186,889","186,889","51,684","116,891","87,303"
Tax Provision,"-37,140","39,605","4,233","13,237","11,065"
Net Income Common Stockholders,"146,991","146,991","47,451","103,654","76,238"
Diluted NI Available to Com Stockholders,"146,991","146,991","47,451","103,654","76,238"
Basic EPS,-,-,0,0,0
Diluted EPS,-,-,0,0,0
Basic Average Shares,-,-,"114,909","119,860","124,448"
Diluted Average Shares,-,-,"116,515","121,022","125,144"
Total Operating Income as Reported,"583,488","583,488","544,166","458,501","387,308"
Total Expenses,"1,382,826","1,382,826","1,283,434","1,220,109","1,202,435"
Net Income from Continuing & Discontinued Operation,"146,991","146,991","47,451","103,654","76,238"
Normalized Income,"185,440","185,440","95,686","148,901","160,143"
Interest Income,"5,500","5,500","6,731","11,337","10,928"
Interest Expense,"393,229","393,229","378,857","326,628","331,374"
Net Interest Income,"-410,195","-410,195","-392,415","-337,231","-341,582"
EBIT,"580,118","580,118","430,541","443,519","418,677"
EBITDA,"1,277,196",-,-,-,-
Reconciled Cost of Revenue,"493,031","493,031","468,795","446,312","420,897"
Reconciled Depreciation,"708,619","697,078","672,113","643,100","638,189"
Net Income from Continuing Operation Net Minority Interest,"146,991","146,991","47,451","103,654","76,238"
Total Unusual Items Excluding Goodwill,"-48,788","-48,788","-52,538","-51,025","-96,083"
Total Unusual Items,"-48,788","-48,788","-52,538","-51,025","-96,083"
Normalized EBITDA,"1,325,984","1,325,984","1,155,192","1,137,644","1,152,949"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-10,339","-10,339","-4,303","-5,778","-12,178"
