Breakdown,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Revenue,"5,236,000","5,163,000","4,914,000","4,472,000","4,202,000"
Cost of Revenue,"2,427,000","2,358,000","2,227,000","2,063,000","2,005,000"
Gross Profit,"2,809,000","2,805,000","2,687,000","2,409,000","2,197,000"
Operating Expense,"2,017,000","1,864,000","1,759,000","1,568,000","1,582,000"
Operating Income,"792,000","941,000","928,000","841,000","615,000"
Net Non Operating Interest Income Expense,"-57,000","-38,000","-37,000","-57,000","-61,000"
Other Income Expense,"58,000","16,000","55,000","19,000","-10,000"
Pretax Income,"793,000","919,000","946,000","803,000","544,000"
Tax Provision,"110,000","-152,000","630,000","119,000","82,000"
Net Income Common Stockholders,"683,000","1,071,000","316,000","684,000","462,000"
Diluted NI Available to Com Stockholders,"683,000","1,071,000","316,000","684,000","462,000"
Basic EPS,-,0.0034,0,0.0021,0.0014
Diluted EPS,-,0.0034,0,0.0021,0.0014
Basic Average Shares,-,"314,000","321,000","322,000","326,000"
Diluted Average Shares,-,"318,000","325,000","326,000","329,000"
Total Operating Income as Reported,"792,000","941,000","928,000","841,000","615,000"
Total Expenses,"4,444,000","4,222,000","3,986,000","3,631,000","3,587,000"
Net Income from Continuing & Discontinued Operation,"683,000","1,071,000","316,000","684,000","462,000"
Normalized Income,"683,000","1,071,000","316,000","684,000","462,000"
Interest Income,"22,000","36,000","38,000","22,000","11,000"
Interest Expense,"79,000","74,000","75,000","79,000","72,000"
Net Interest Income,"-57,000","-38,000","-37,000","-57,000","-61,000"
EBIT,"872,000","993,000","1,021,000","882,000","616,000"
EBITDA,"1,158,000",-,-,-,-
Reconciled Cost of Revenue,"2,427,000","2,358,000","2,227,000","2,063,000","2,005,000"
Reconciled Depreciation,"286,000","238,000","210,000","212,000","246,000"
Net Income from Continuing Operation Net Minority Interest,"683,000","1,071,000","316,000","684,000","462,000"
Normalized EBITDA,"1,158,000","1,231,000","1,231,000","1,094,000","862,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
