Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"8,536,300","8,200,000","4,363,547","3,881,756","2,931,188"
Cost of Revenue,"6,068,600","5,922,000","3,129,662","2,816,443","2,006,949"
Gross Profit,"2,467,700","2,278,000","1,233,885","1,065,313","924,239"
Operating Expense,"1,654,600","1,614,900","760,448","643,580","465,878"
Operating Income,"813,100","663,100","473,437","421,733","458,361"
Net Non Operating Interest Income Expense,"-227,800","-219,100","-112,235","-68,704","-42,561"
Other Income Expense,"-3,800","2,800","6,380",-966,"-2,963"
Pretax Income,"581,500","446,800","367,582","352,063","412,837"
Tax Provision,"139,800","120,300","75,879","89,773","99,433"
Net Income Common Stockholders,"441,400","325,300","294,094","261,475","303,973"
Average Dilution Earnings,100,400,-,-,-
Diluted NI Available to Com Stockholders,"441,500","325,700","294,094","261,475","303,973"
Basic EPS,-,-,0.0031,0.0027,0.0034
Diluted EPS,-,-,0.003,0.0027,0.0033
Basic Average Shares,-,-,"95,994","95,453","90,359"
Diluted Average Shares,-,-,"96,464","96,125","91,141"
Total Operating Income as Reported,"813,100","663,100","473,437","421,733","458,361"
Total Expenses,"7,723,200","7,536,900","3,890,110","3,460,023","2,472,827"
Net Income from Continuing & Discontinued Operation,"442,800","326,700","294,944","262,261","304,887"
Normalized Income,"453,966","336,569","299,506","267,191","307,924"
Interest Expense,"227,800","219,100","112,235","68,704","42,561"
Net Interest Income,"-227,800","-219,100","-112,235","-68,704","-42,561"
EBIT,"809,300","665,900","479,817","420,767","455,398"
EBITDA,"1,150,800",-,-,-,-
Reconciled Cost of Revenue,"6,007,100","5,841,200","3,060,119","2,749,711","1,959,852"
Reconciled Depreciation,"341,500","319,200","109,297","103,248","69,795"
Net Income from Continuing Operation Net Minority Interest,"442,800","326,700","294,944","262,261","304,887"
Total Unusual Items Excluding Goodwill,"-14,700","-13,500","-5,745","-6,618","-4,001"
Total Unusual Items,"-14,700","-13,500","-5,745","-6,618","-4,001"
Normalized EBITDA,"1,165,500","998,600","594,859","530,633","529,194"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,534","-3,631","-1,183","-1,688",-964.241
